Time,shipment_id,W60_T_mean,W60_T_std,W60_T_range,W60_delta,W60_slope,W60_hot_ratio_mean,W60_over_auc_mean,W60_over_dur_mean,W60_spatial_range_mean,W60_spatial_std_mean,W60_active_ratio_mean,y_next_120_R2
2019-03-13 00:40:00,S1,27.28095245,0.081092313,0.242856979,-0.242857143,-0.047346938,1.0,1396.857178,0.777777791,1.066666722,0.342424482,0.777777791,1.0
2019-03-13 00:50:00,S1,27.23095322,0.084682949,0.242856979,-0.242857143,-0.049387757,1.0,1393.857178,0.777777791,1.066666722,0.340374351,0.777777791,1.0
2019-03-13 01:00:00,S1,27.17142868,0.107538953,0.32857132,-0.328571439,-0.062040817,1.0,1390.285767,0.777777791,1.100000024,0.347642362,0.777777791,1.0
2019-03-13 01:10:00,S1,27.10238075,0.12519826,0.357143402,-0.357142866,-0.072244897,1.0,1386.142822,0.777777791,1.116666675,0.351376474,0.777777791,1.0
2019-03-13 01:20:00,S1,27.01428604,0.164957225,0.485713959,-0.485714287,-0.094693877,1.0,1380.857178,0.777777791,1.149999976,0.356670916,0.777777791,1.0
2019-03-13 01:30:00,S1,26.90952301,0.200452998,0.571428299,-0.571428597,-0.115918368,1.0,1374.571411,0.777777791,1.166666627,0.364448071,0.777777791,1.0
2019-03-13 01:40:00,S1,26.79523849,0.221108317,0.628572464,-0.628571451,-0.128979594,1.0,1367.714233,0.777777791,1.183333278,0.371418834,0.777777791,1.0
2019-03-13 01:50:00,S1,26.67380905,0.22045356,0.614284515,-0.614285707,-0.128571436,1.0,1360.428589,0.777777791,1.200000048,0.379667222,0.777777791,1.0
2019-03-13 02:00:00,S1,26.54999924,0.219112307,0.657142639,-0.657142878,-0.127755105,1.0,1353.0,0.777777791,1.216666698,0.388944834,0.777777791,1.0
2019-03-13 02:10:00,S1,26.41666603,0.208724126,0.628570557,-0.628571451,-0.122040816,1.0,1345.0,0.777777791,1.25,0.400244474,0.777777791,1.0
2019-03-13 02:20:00,S1,26.29285622,0.207306996,0.600000381,-0.600000024,-0.121224493,1.0,1337.571411,0.777777791,1.283333302,0.412401348,0.777777791,1.0
2019-03-13 02:30:00,S1,26.17142868,0.21349059,0.614284515,-0.614285707,-0.124897957,1.0,1330.285767,0.777777791,1.316666722,0.420669138,0.777777791,1.0
2019-03-13 02:40:00,S1,26.04999924,0.215512365,0.628572464,-0.628571451,-0.126122445,1.0,1323.0,0.777777791,1.333333373,0.424874902,0.777777791,1.0
2019-03-13 02:50:00,S1,25.92619133,0.208561093,0.614286423,-0.614285707,-0.122040816,1.0,1315.571411,0.777777791,1.350000024,0.430693358,0.777777791,1.0
2019-03-13 03:00:00,S1,25.80476189,0.200792089,0.58571434,-0.585714281,-0.117551021,1.0,1308.285767,0.777777791,1.333333373,0.428740084,0.777777791,1.0
2019-03-13 03:10:00,S1,25.69285774,0.191973284,0.557142258,-0.557142854,-0.112244897,1.0,1301.571411,0.777777791,1.316666722,0.424628586,0.777777791,1.0
2019-03-13 03:20:00,S1,25.57619095,0.191248432,0.571428299,-0.571428597,-0.111836731,1.0,1294.571411,0.777777791,1.283333302,0.418446004,0.777777791,1.0
2019-03-13 03:30:00,S1,25.46190453,0.194073185,0.571428299,-0.571428597,-0.113469385,1.0,1287.714233,0.777777791,1.266666651,0.414476216,0.777777791,1.0
2019-03-13 03:40:00,S1,25.35000038,0.193385527,0.557142258,-0.557142854,-0.113061227,1.0,1281.0,0.777777791,1.266666651,0.415528655,0.777777791,1.0
2019-03-13 03:50:00,S1,25.25,0.177999079,0.485713959,-0.485714287,-0.103265308,1.0,1275.0,0.777777791,1.266666651,0.413260311,0.777777791,1.0
2019-03-13 04:00:00,S1,25.14999962,0.169783771,0.514286041,-0.514285743,-0.098367348,1.0,1269.0,0.777777791,1.266666651,0.410908818,0.777777791,1.0
2019-03-13 04:10:00,S1,25.04999924,0.152027115,0.457143784,-0.45714286,-0.088571429,1.0,1263.0,0.777777791,1.25,0.409736097,0.777777791,1.0
2019-03-13 04:20:00,S1,24.97857094,0.122266017,0.342857361,-0.314285725,-0.068979591,1.0,1258.714233,0.777777791,1.299999952,0.420325488,0.777777791,1.0
2019-03-13 04:30:00,S1,24.90476227,0.117127374,0.342857361,-0.342857152,-0.06612245,1.0,1254.285767,0.777777791,1.383333325,0.435759544,0.777777791,1.0
2019-03-13 04:40:00,S1,24.80952454,0.165300518,0.528572083,-0.528571427,-0.090612248,1.0,1248.571411,0.777777791,1.5,0.463609278,0.777777791,1.0
2019-03-13 04:50:00,S1,24.68095207,0.231626406,0.657142639,-0.657142878,-0.125714287,1.0,1240.857178,0.777777791,1.566666722,0.48334378,0.777777791,1.0
2019-03-13 05:00:00,S1,24.55238152,0.276231527,0.714286804,-0.685714304,-0.155918375,1.0,1233.142822,0.777777791,1.633333325,0.501935065,0.777777791,1.0
2019-03-13 05:10:00,S1,24.42619133,0.293630421,0.785715103,-0.785714269,-0.169387758,1.0,1225.571411,0.777777791,1.700000048,0.51827985,0.777777791,1.0
2019-03-13 05:20:00,S1,24.27142906,0.269416094,0.799999237,-0.800000012,-0.154285714,1.0,1216.285767,0.777777791,1.716666698,0.522657454,0.777777791,1.0
2019-03-13 05:30:00,S1,24.12619019,0.212759107,0.642856598,-0.642857134,-0.122040816,1.0,1207.571411,0.777777791,1.700000048,0.520833969,0.777777791,1.0
2019-03-13 05:40:00,S1,23.99047661,0.189461589,0.571428299,-0.571428597,-0.110204078,1.0,1199.428589,0.777777791,1.633333325,0.502329111,0.777777791,1.0
2019-03-13 05:50:00,S1,23.90952301,0.159648135,0.457141876,-0.371428579,-0.088163264,1.0,1194.571411,0.777777791,1.649999976,0.505349636,0.777777791,1.0
2019-03-13 06:00:00,S1,23.8571434,0.121498577,0.385713577,-0.242857143,-0.053061225,1.0,1191.428589,0.777777791,1.566666722,0.47727716,0.777777791,1.0
2019-03-13 06:10:00,S1,23.88571358,0.176319122,0.557142258,0.314285725,0.044897959,1.0,1193.142822,0.777777791,1.466666698,0.451478601,0.777777791,1.0
2019-03-13 06:20:00,S1,24.02142906,0.367168784,1.057142258,0.885714293,0.17591837,1.0,1201.285767,0.777777791,1.366666675,0.427997649,0.777777791,1.0
2019-03-13 06:30:00,S1,24.24047661,0.550226688,1.485713959,1.485714316,0.30734694,1.0,1214.428589,0.777777791,1.25,0.400401711,0.777777791,1.0
2019-03-13 06:40:00,S1,24.54761887,0.658521652,1.757143021,1.757142901,0.380408168,1.0,1232.857178,0.777777791,1.149999976,0.378044963,0.777777791,1.0
